"callerPrefix","calleePrefix"
"practices/bdd","practices/stories"
"practices/bdd","practices/clean_engineering/model"
"practices/bdd","practices/clean_engineering"
"practices/bdd","tools/git"
"practices/bdd","tools/context_setup"
"practices/bdd","tools/workspace"
"practices/bdd","actions/partition"
"practices/bdd","practices/ux/model"
"practices/bdd","practices/ux"
"practices/bdd","tools/catalog_generator"
"practices/bdd","practices/clean_engineering/model/drawio"
"practices/bdd","practices/agent_bdd"
"practices/bdd","builders/create_context_tool"
"practices/bdd","tools/workflow"
"practices/bdd","builders/create_agent_toolset"
"practices/bdd","practices/ddd"
"practices/bdd","tools/prompt_echo"
"practices/bdd","tools/handoff"
"practices/bdd","tools/plan"
"practices/ux/scripts","practices/stories"
"practices/ux/scripts","practices/clean_engineering/model"
"practices/ux/scripts","practices/clean_engineering"
"practices/ux/scripts","tools/workspace"
"practices/ux/scripts","practices/ux/model/drawio"
"practices/ux/scripts","practices/ux/model"
"practices/ux/scripts","tools/catalog_generator"
"practices/ux/scripts","practices/clean_engineering/model/drawio"
"practices/ux/scripts","practices/ux/model/markdown"
"practices/ux/scripts","practices/ux/model/html"
"practices/ux/scripts","practices/ux/model/json"
"builders/create_agent_toolset","actions"
"builders/create_agent_toolset","harness"
"builders/create_agent_toolset","practices"
"builders/create_agent_toolset","installation"
"builders/create_agent_toolset","harness/hooks"
"builders/create_agent_toolset","actions/sketch"
"builders/create_agent_toolset","harness/agent_tools"
"builders/create_agent_toolset","harness/markdown"
"builders/create_agent_toolset","harness/knowledge_graph"
"builders/create_agent_toolset","harness/mcp"
"builders/create_agent_toolset","practices/stories"
"builders/create_agent_toolset","practices/clean_engineering/model"
"builders/create_agent_toolset","practices/clean_engineering"
"builders/create_agent_toolset","tools/git"
"builders/create_agent_toolset","tools/context_setup"
"builders/create_agent_toolset","tools/workspace"
"builders/create_agent_toolset","actions/partition"
"builders/create_agent_toolset","practices/ux/model"
"builders/create_agent_toolset","practices/ux"
"builders/create_agent_toolset","tools/catalog_generator"
"builders/create_agent_toolset","practices/clean_engineering/model/drawio"
"builders/create_agent_toolset","practices/agent_bdd"
"builders/create_agent_toolset","builders/create_context_tool"
"builders/create_agent_toolset","tools/workflow"
"builders/create_agent_toolset","practices/bdd"
"builders/create_agent_toolset","practices/ddd"
"builders/create_agent_toolset","tools/prompt_echo"
"builders/create_agent_toolset","tools/diagnose"
"builders/create_agent_toolset","tools/handoff"
"builders/create_agent_toolset","tools/plan"
"practices/ddd","actions"
"practices/ddd","harness"
"practices/ddd","practices"
"practices/ddd","installation"
"practices/ddd","harness/hooks"
"practices/ddd","actions/sketch"
"practices/ddd","harness/agent_tools"
"practices/ddd","harness/markdown"
"practices/ddd","harness/knowledge_graph"
"practices/ddd","harness/mcp"
"practices/ddd","practices/stories"
"practices/ddd","practices/clean_engineering/model"
"practices/ddd","practices/clean_engineering"
"practices/ddd","tools/git"
"practices/ddd","tools/context_setup"
"practices/ddd","tools/workspace"
"practices/ddd","actions/partition"
"practices/ddd","practices/ux/model"
"practices/ddd","practices/ux"
"practices/ddd","tools/catalog_generator"
"practices/ddd","practices/clean_engineering/model/drawio"
"practices/ddd","practices/agent_bdd"
"practices/ddd","builders/create_context_tool"
"practices/ddd","tools/workflow"
"practices/ddd","practices/bdd"
"practices/ddd","builders/create_agent_toolset"
"practices/ddd","tools/prompt_echo"
"practices/ddd","tools/handoff"
"practices/ddd","tools/plan"
"tools/prompt_echo","installation"
"tools/prompt_echo","harness/hooks"
"tools/prompt_echo","harness/agent_tools"
"tools/prompt_echo","harness/knowledge_graph"
"tools/prompt_echo","harness/mcp"
"tools/prompt_echo","practices/clean_engineering"
"tools/prompt_echo","tools/context_setup"
"tools/prompt_echo","tools/workspace"
"tools/prompt_echo","practices/ux/model"
"tools/prompt_echo","tools/catalog_generator"
"tools/prompt_echo","practices/agent_bdd"
"tools/prompt_echo","tools/workflow"
"tools/prompt_echo","practices/ddd"
"tools/prompt_echo","tools/prompt_log"
"tools/diagnose","harness/hooks"
"tools/diagnose","harness/mcp"
"tools/handoff","harness/knowledge_graph"
"tools/handoff","practices/stories"
"tools/handoff","practices/clean_engineering"
"tools/handoff","tools/git"
"tools/handoff","tools/workspace"
"tools/handoff","practices/ux/model"
"tools/handoff","tools/catalog_generator"
"tools/handoff","practices/agent_bdd"
"tools/handoff","practices/ddd"
"practices/ux/model/html","actions"
"practices/ux/model/html","harness"
"practices/ux/model/html","installation"
"practices/ux/model/html","harness/knowledge_graph"
"practices/ux/model/html","practices/stories"
"practices/ux/model/html","practices/clean_engineering/model"
"practices/ux/model/html","practices/clean_engineering"
"practices/ux/model/html","tools/workspace"
"practices/ux/model/html","actions/partition"
"practices/ux/model/html","practices/ux/model/drawio"
"practices/ux/model/html","practices/ux/model"
"practices/ux/model/html","practices/ux"
"practices/ux/model/html","tools/catalog_generator"
"practices/ux/model/html","practices/clean_engineering/model/drawio"
"practices/ux/model/html","practices/agent_bdd"
"practices/ux/model/html","practices/ux/model/markdown"
"practices/ux/model/html","tools/workflow"
"practices/ux/model/html","practices/ux/model/json"
"practices/ux/model/html","tools/plan"
"tools/record_decisions","harness/agent_tools"
"tools/record_decisions","harness/knowledge_graph"
"tools/record_decisions","practices/agent_bdd"
"actions/improvement","harness"
"actions/improvement","harness/hooks"
"actions/improvement","actions/sketch"
"actions/improvement","harness/agent_tools"
"actions/improvement","harness/markdown"
"actions/improvement","harness/knowledge_graph"
"actions/improvement","harness/mcp"
"actions/improvement","practices/stories"
"actions/improvement","practices/clean_engineering"
"actions/improvement","tools/git"
"actions/improvement","tools/workspace"
"actions/improvement","tools/catalog_generator"
"actions/improvement","practices/agent_bdd"
"actions/improvement","practices/ddd"
"actions/improvement","tools/prompt_echo"
"actions/improvement","tools/plan"
"practices/ux/model/json","harness/knowledge_graph"
"practices/ux/model/json","practices/stories"
"practices/ux/model/json","practices/clean_engineering/model"
"practices/ux/model/json","practices/clean_engineering"
"practices/ux/model/json","tools/workspace"
"practices/ux/model/json","practices/ux/model/drawio"
"practices/ux/model/json","practices/ux/model"
"practices/ux/model/json","tools/catalog_generator"
"practices/ux/model/json","practices/clean_engineering/model/drawio"
"practices/ux/model/json","practices/agent_bdd"
"practices/ux/model/json","practices/ux/model/markdown"
"practices/ux/model/json","tools/workflow"
"practices/ux/model/json","practices/ux/model/html"
"practices/ux/model/json","tools/plan"
"tools/plan","harness"
"tools/plan","harness/hooks"
"tools/plan","harness/agent_tools"
"tools/plan","harness/knowledge_graph"
"tools/plan","harness/mcp"
"tools/plan","practices/stories"
"tools/plan","practices/clean_engineering"
"tools/plan","tools/git"
"tools/plan","tools/context_setup"
"tools/plan","tools/workspace"
"tools/plan","actions/partition"
"tools/plan","practices/ux/model"
"tools/plan","practices/agent_bdd"
"tools/plan","tools/workflow"
"tools/plan","practices/ddd"
"tools/plan","tools/prompt_echo"
"tools/prompt_log","installation"
"tools/prompt_log","harness/hooks"
"tools/prompt_log","harness/knowledge_graph"
"tools/prompt_log","harness/mcp"
"tools/prompt_log","practices/clean_engineering"
"tools/prompt_log","tools/context_setup"
"tools/prompt_log","tools/workspace"
"tools/prompt_log","practices/ux/model"
"tools/prompt_log","tools/catalog_generator"
"tools/prompt_log","practices/agent_bdd"
