"callerPrefix","calleePrefix"
"harness/agent_tools","tools/catalog_generator"
"harness/agent_tools","practices/clean_engineering/model/drawio"
"harness/agent_tools","practices/agent_bdd"
"harness/agent_tools","practices/ux/model/markdown"
"harness/agent_tools","builders/create_context_tool"
"harness/agent_tools","tools/workflow"
"harness/agent_tools","practices/bdd"
"harness/agent_tools","builders/create_agent_toolset"
"harness/agent_tools","practices/ddd"
"harness/agent_tools","tools/prompt_echo"
"harness/agent_tools","tools/diagnose"
"harness/agent_tools","tools/handoff"
"harness/agent_tools","practices/ux/model/html"
"harness/agent_tools","practices/ux/model/json"
"harness/agent_tools","tools/plan"
"harness/markdown","harness"
"harness/markdown","harness/agent_tools"
"harness/markdown","harness/knowledge_graph"
"harness/markdown","practices/clean_engineering"
"harness/markdown","tools/git"
"harness/markdown","tools/context_setup"
"harness/markdown","tools/workspace"
"harness/markdown","actions/partition"
"harness/markdown","practices/ux/model"
"harness/markdown","tools/catalog_generator"
"harness/markdown","tools/workflow"
"harness/markdown","practices/ddd"
"harness/knowledge_graph","actions"
"harness/knowledge_graph","harness"
"harness/knowledge_graph","practices"
"harness/knowledge_graph","installation"
"harness/knowledge_graph","harness/hooks"
"harness/knowledge_graph","actions/sketch"
"harness/knowledge_graph","harness/agent_tools"
"harness/knowledge_graph","harness/markdown"
"harness/knowledge_graph","harness/mcp"
"harness/knowledge_graph","practices/stories"
"harness/knowledge_graph","practices/clean_engineering/model"
"harness/knowledge_graph","practices/clean_engineering"
"harness/knowledge_graph","tools/git"
"harness/knowledge_graph","tools/context_setup"
"harness/knowledge_graph","tools/workspace"
"harness/knowledge_graph","actions/partition"
"harness/knowledge_graph","practices/ux/model/drawio"
"harness/knowledge_graph","practices/ux/model"
"harness/knowledge_graph","practices/ux"
"harness/knowledge_graph","tools/catalog_generator"
"harness/knowledge_graph","practices/clean_engineering/model/drawio"
"harness/knowledge_graph","practices/agent_bdd"
"harness/knowledge_graph","practices/ux/model/markdown"
"harness/knowledge_graph","builders/create_context_tool"
"harness/knowledge_graph","tools/workflow"
"harness/knowledge_graph","practices/bdd"
"harness/knowledge_graph","builders/create_agent_toolset"
"harness/knowledge_graph","practices/ddd"
"harness/knowledge_graph","tools/prompt_echo"
"harness/knowledge_graph","tools/diagnose"
"harness/knowledge_graph","tools/handoff"
"harness/knowledge_graph","practices/ux/model/html"
"harness/knowledge_graph","practices/ux/model/json"
"harness/knowledge_graph","tools/plan"
"harness/mcp","actions"
"harness/mcp","harness"
"harness/mcp","practices"
"harness/mcp","installation"
"harness/mcp","harness/hooks"
"harness/mcp","actions/sketch"
"harness/mcp","harness/agent_tools"
"harness/mcp","harness/markdown"
"harness/mcp","harness/knowledge_graph"
"harness/mcp","practices/stories"
"harness/mcp","practices/clean_engineering/model"
"harness/mcp","practices/clean_engineering"
"harness/mcp","tools/git"
"harness/mcp","tools/context_setup"
"harness/mcp","tools/workspace"
"harness/mcp","actions/partition"
"harness/mcp","practices/ux/model"
"harness/mcp","practices/ux"
"harness/mcp","tools/catalog_generator"
"harness/mcp","practices/clean_engineering/model/drawio"
"harness/mcp","practices/agent_bdd"
"harness/mcp","builders/create_context_tool"
"harness/mcp","tools/workflow"
"harness/mcp","practices/bdd"
"harness/mcp","builders/create_agent_toolset"
"harness/mcp","practices/ddd"
"harness/mcp","tools/prompt_echo"
"harness/mcp","tools/diagnose"
"harness/mcp","tools/handoff"
"harness/mcp","tools/plan"
"practices/stories","actions"
"practices/stories","harness"
"practices/stories","practices"
"practices/stories","installation"
"practices/stories","harness/hooks"
"practices/stories","actions/sketch"
"practices/stories","harness/agent_tools"
"practices/stories","harness/markdown"
"practices/stories","harness/knowledge_graph"
"practices/stories","harness/mcp"
"practices/stories","practices/clean_engineering/model"
"practices/stories","practices/clean_engineering"
"practices/stories","tools/git"
"practices/stories","tools/context_setup"
"practices/stories","tools/workspace"
"practices/stories","actions/partition"
"practices/stories","practices/ux/model/drawio"
"practices/stories","practices/ux/model"
"practices/stories","practices/ux"
"practices/stories","tools/catalog_generator"
"practices/stories","practices/clean_engineering/model/drawio"
"practices/stories","practices/agent_bdd"
"practices/stories","practices/ux/model/markdown"
"practices/stories","builders/create_context_tool"
"practices/stories","tools/workflow"
"practices/stories","practices/bdd"
"practices/stories","builders/create_agent_toolset"
"practices/stories","practices/ddd"
"practices/stories","tools/prompt_echo"
"practices/stories","tools/diagnose"
"practices/stories","tools/handoff"
"practices/stories","practices/ux/model/html"
"practices/stories","practices/ux/model/json"
"practices/stories","tools/plan"
"practices/clean_engineering/model","actions"
"practices/clean_engineering/model","harness"
"practices/clean_engineering/model","practices"
"practices/clean_engineering/model","installation"
"practices/clean_engineering/model","harness/hooks"
"practices/clean_engineering/model","actions/sketch"
"practices/clean_engineering/model","harness/agent_tools"
"practices/clean_engineering/model","harness/markdown"
"practices/clean_engineering/model","harness/knowledge_graph"
"practices/clean_engineering/model","harness/mcp"
"practices/clean_engineering/model","practices/stories"
"practices/clean_engineering/model","practices/clean_engineering"
"practices/clean_engineering/model","tools/git"
"practices/clean_engineering/model","tools/context_setup"
"practices/clean_engineering/model","tools/workspace"
"practices/clean_engineering/model","actions/partition"
